DCS  ,"Мокрота, глубокий кашель",Chuqur yo‘tal balg‘ami,
DEC  ,Декубитальная язва,Yotoq yarasi,
DEION  ,"Окружающая среда, вода (деионизированная)","Atrof-muhit, deionizatsiyalangan suv",
DIA  ,Диализат,Dializat,
DIAF  ,Диализная жидкость,Dializ suyuqligi,
DISCHG  ,Выделения,Ajralmalar,
DIV  ,Дивертикул,Divertikul,
DRN  ,Дренаж,Drenaj,
DRNG  ,"Дренаж, трубка","Drenaj, naycha",
DRNGP  ,"Дренаж, Пенроуз","Drenaj, Penroz",
DUFL,Дуоденальная жидкость,O‘n ikki barmoq ichak suyuqligi,
EARW  ,Ушная сера,Quloq kiri,
EBRUSH  ,Пищеводная щётка,Qizilo‘ngach cho‘tkasi,
EEYE  ,"Окружающая среда, глазная промывка","Atrof-muhit, ko‘z yuvish",
EFF  ,"Окружающая среда, сток","Atrof-muhit, oqindi",
EFFUS  ,Выпот,Ekssudat,
EFOD  ,"Окружающая среда, пища","Atrof-muhit, oziq-ovqat",
EISO  ,"Окружающая среда, инкубатор","Atrof-muhit, inkubator",
ELT  ,Электрод,Elektrod,
ENVIR  ,"Окружающая среда, неопознанное вещество","Atrof-muhit, noma’lum modda",
EOS  ,Эозинофилы,Eozinofillar,
EOTH  ,"Окружающая среда, другое вещество","Atrof-muhit, boshqa modda",
ESOI  ,"Окружающая среда, почва","Atrof-muhit, tuproq",
EOTH  ,"Окружающая среда, другое вещество","Atrof-muhit, boshqa modda",
ESOI  ,"Окружающая среда, почва","Atrof-muhit, tuproq",
ESOS  ,"Окружающая среда, раствор (стерильный)","Atrof-muhit, steril eritma",
ETA  ,"Аспират, эндотрахеальный","Aspirat, endotraxeal",
ETTP  ,"Кончик катетера, эндотрахеальный","Kateter uchi, endotraxeal",
ETTUB  ,Эндотрахеальная трубка,Endotraxeal naycha,
EWHI  ,"Окружающая среда, гидромассажная ванна","Atrof-muhit, gidromassaj vannasi",
EXG  ,"Газ, выдыхаемый",Nafas chiqarilgan gaz,
EXS  ,"Шунт, наружный",Tashqi shunt,
EXUDTE  ,Экссудат,Ekssudat,
FAW  ,"Окружающая среда, колодезная вода","Atrof-muhit, quduq suvi",
FBLOOD  ,"Кровь, плодная",Homila qoni,
FGA  ,"Жидкость, брюшная полость",Qorin bo‘shlig‘i suyuqligi,
FIB  ,Фибробласты,Fibroblastlar,
FIST  ,Свищ,Fistula,
FLD  ,"Жидкость, другая",Boshqa suyuqlik,
FLT  ,Фильтр,Filtr,
FLU  ,"Жидкость, тело (неуточнённая)",Tana suyuqligi (aniqlanmagan),
FLUID  ,Жидкость,Suyuqlik,
FOLEY  ,Кончик катетера Фолея,Foley kateterining uchi,
FRS  ,Респираторная жидкость,Nafas yo‘llari suyuqligi,
FSCLP  ,Кожа головы плода,Homila bosh terisi,
FUR  ,Фурункул,Furunkul,
GAS  ,Газ,Gaz,
GASA  ,"Аспират, желудочный",Oshqozon aspirati,
GASAN  ,Антрум желудка,Oshqozon antrumi,
GASBR  ,"Щётка, желудочная",Oshqozonni cho‘tkalash,
GASD  ,"Дренаж, желудочный",Oshqozon drenaji,
GAST  ,"Жидкость (содержимое), желудочная",Oshqozon tarkibi (suyuqlik),
GENL  ,Послеродовые выделения,Jinsiy yo‘llardan lohiya,
GENV  ,Влагалищные выделения,Qin ajralmalari,
GRAFT  ,Трансплантат,Transplantat,
GRAFTS  ,Место трансплантата,Transplantat joyi,
GRANU  ,Гранулёма,Granulyoma,
GROSH  ,Катетер Грошонга,Groshong kateteri,
GSOL  ,Раствор для гастростомы,Gastrostomiya uchun eritma,
GSPEC  ,Биопсия желудка,Oshqozon biopsiyasi,
GT  ,Желудочная трубка,Oshqozon naychasi,
GTUBE  ,Дренажная трубка (гастростома),Drenaj naychasi (gastrostomiya),
HAR  ,Волосы,Soch,
HBITE  ,Укус человека,Inson tishlashi,
HLUD  ,Кровь (аутопсия),Autopsiya qoni,
HEMAQ  ,"Кончик катетера, Hemaquit",Hemaquit kateteri uchi,
HEMO  ,"Кончик катетера, Hemovac",Hemovac kateteri uchi,
HERNI  ,"Ткань, грыжевая",Churrali to‘qima,
HEV  ,Дренаж Hemovac,Hemovac drenaji,
HIC  ,Катетер Хикмана,Hickman kateteri,
HYDC  ,Жидкость при гидроцеле,Gidrotsele suyuqligi,
IBITE  ,Укус насекомого,Hasharot tishlashi,
ICYST  ,Инклюзионная киста,Inklyuzion kista,
IDC  ,Кончик постоянного катетера,Doimiy kateter uchi,
IHG  ,Вдыхаемый газ,Nafas bilan yutilgan gaz,
ILEO  ,"Дренаж, илеостома",Ileostomiya drenaji,
ILLEG  ,Источник образца неразборчив,Namuna manbai o‘qilmaydi,
IMP  ,Имплантат,Implant,
INCI  ,Место хирургического разреза,Jarrohlik kesmasi joyi,
INFIL  ,Инфильтрат,Infiltrat,
INS  ,Насекомое,Hasharot,
INTRD  ,Кончик вводного катетера,Kirituvchi kateter uchi,
ISLT  ,Изолят,Izolat,
IT  ,Интубационная трубка,Intubatsiya naychasi,
IUD  ,Внутриматочное устройство,Bachadon ichki vositasi,
IVCAT  ,Кончик внутривенного катетера,IV kateter uchi,
IVFLD  ,Внутривенная жидкость,IV suyuqlik,
IVTIP  ,"Кончик трубки, внутривенный",IV naycha uchi,
JEJU  ,"Дренаж, тощая кишка",Yeyunal drenaj,
JNTFLD  ,Суставная жидкость,Bo‘g‘im suyuqligi,
JP  ,Дренаж Джексона–Пратта,Jackson-Pratt drenaji,
KELOI  ,Промывание,Yuvish,
KIDFLD  ,Почечная жидкость,Buyrak suyuqligi,
LAVG  ,Бронхиальный лаваж,Bronxial lavaj,
LAVGG  ,Желудочный лаваж,Oshqozon lavaji,
LAVGP  ,Перитонеальный лаваж,Peritoneal lavaj,
LAVPG  ,Пре-бронхиальный лаваж,Bronxdan oldingi lavaj,
LENS1  ,Контактная линза,Kontakt linza,
LENS2  ,Контейнер для контактных линз,Kontakt linza qutisi,
LESN  ,Поражение,Shikastlanish,
LIQ  ,"Жидкость, неуточнённая",Suyuqlik (aniqlanmagan),
LIQO  ,"Жидкость, другая",Boshqa suyuqlik,
LNA  ,Артериальная линия,Arterial liniya,
LNV  ,Венозная линия,Venoz liniya,
LSAC  ,Жидкость поясничного мешка,Lumbal qopcha suyuqligi,
LYM  ,Лимфоциты,Limfotsitlar,
MAC  ,Макрофаги,Makrofaglar,
MAHUR  ,Кончик катетера Makurkur,Makurkur kateteri uchi,
MAR  ,Костный мозг,Suyak iligi,
MASS  ,Опухоль,O‘sma,
MBLD  ,Менструальная кровь,Hayz qoni,
MEC  ,Меконий,Mekoniy,
MILK  ,Грудное молоко,Ona suti,
MLK  ,Молоко,Sut,
MUCOS  ,Слизистая оболочка,Shilliq qavat,
MUCUS  ,Слизь,Shilliq,
NAIL  ,Ноготь,Tirnoq,
NASDR  ,Носовой дренаж,Burun drenaji,
NEDL  ,Игла,Igna,
NEPH  ,Место нефростомы,Nefrostomiya joyi,
NGASP  ,"Аспират, назогастральный",Nazogastral aspirat,
NGAST  ,"Дренаж, назогастральный",Nazogastral drenaj,
NGS  ,"Место, назо-/желудочное",Nazo/gastral joy,
NODUL  ,Узел(ы),Tugun(lar),
NSECR  ,Носовой секрет,Burun sekretsiyasi,
ORH  ,Другое,Boshqa,
ORL  ,Поражение полости рта,Og‘iz bo‘shlig‘i shikastlanishi,
OTH  ,"Источник, другой","Manba, boshqa",
PACEM  ,Кардиостимулятор,Kardiostimulyator,
PAFL  ,Панкреатическая жидкость,Oshqozon osti bezi suyuqligi,
PCFL  ,Перикардиальная жидкость,Perikardial suyuqlik,
PDST  ,Место перитонеального диализа,Peritoneal dializ joyi,
PDTS  ,Туннель перитонеального диализа,Peritoneal dializ tunneli joyi,
PELVA  ,Тазовый абсцесс,Chanoq abscessi,
PENIL  ,Поражение полового члена,Jinsiy olat shikastlanishi,
PERIA  ,Перианальный абсцесс,Perianal abscess,
PILOC  ,Пилонидальная киста,Pilonidal kista,
PINS  ,Место штифта,Pin joyi,
PIS  ,Место установки кардиостимулятора,Kardiostimulyator o‘rnatilgan joy,
PLAN  ,Растительный материал,O‘simlik materiali,
PLAS  ,Плазма,Plazma,
PLB  ,Пакет плазмы,Plazma paketi,
PLC  ,Плацента,Platsenta,
PLEVS  ,"Сыворотка, пиковый уровень","Zardob, cho‘qqi daraja",
PLR  ,Плевральная жидкость (жидкость при торакоцентезе),Plevra suyuqligi (torakosentez suyuqligi),
PMN  ,Полиморфноядерные нейтрофилы,Polimorfonuklear neytrofillar,
PND  ,Дренаж полового члена,Jinsiy olat drenaji,
POL  ,Полипы,Poliplar,
POPGS  ,"Место трансплантата, подколенная область",Popliteal sohadagi transplantat joyi,
POPLG  ,"Трансплантат, подколенная область",Popliteal transplantat,
POPLV  ,"Место, подколенная вена",Popliteal vena joyi,
PORTA  ,Катетер Porta,Porta kateteri,
PPP  ,"Плазма, бедная тромбоцитами",Trombotsitlarga kambag‘al plazma,
PROST  ,Протезное устройство,Protez qurilma,
PRP  ,"Плазма, богатая тромбоцитами",Trombotsitlarga boy plazma,
PSC  ,Псевдокиста,Psevdokista,
PUNCT  ,"Рана, колотая",Sanchilgan yara,
PUS  ,Гной,Yiring,
PUSFR  ,Пустула,Pustula,
PUST  ,Гной,Yiring,
QC3  ,Контроль качества,Sifat nazorati,
RANDU  ,"Моча, случайная",Tasodifiy siydik,
RBC  ,Эритроциты,Eritrotsitlar,
RBITE  ,Укус рептилии,Sudralib yuruvchi hayvon tishlashi,
RECT  ,Ректальный дренаж,Rektal drenaj,
RECTA  ,Ректальный абсцесс,Rektal abstsess,
RENALC  ,Почечная киста,Buyrak kistasi,
RENC  ,Жидкость почечной кисты,Buyrak kistasi suyuqligi,
RES  ,Респираторный материал,Nafas yo‘llari materiali,
SAL  ,Слюна,So‘lak,
SCAR  ,"Ткань, келоид (рубец)",Keloid (chandiq) to‘qimasi,
SCLV  ,"Кончик катетера, подключичный",Subklavian kateter uchi,
SCROA  ,Мошоночный абсцесс,Moyak xaltasi abstsessi,
SECRE  ,Выделения,Ajralmalar,
SER  ,Сыворотка,Zardob,
SHU  ,Место шунта,Shunt joyi,
SHUNF  ,Жидкость шунта,Shunt suyuqligi,
SHUNT  ,Шунт,Shunt,
SITE  ,Место,Joy,
SKBP  ,Биопсия кожи,Teri biopsiyasi,
SKN  ,Кожа,Teri,
SMM  ,Опухоль поднижнечелюстной области,Pastki jag‘ osti massasi,
SMN  ,Семенная жидкость,Urug‘ suyuqligi,
SNV  ,Синовиальная жидкость (суставная),Sinovial (bo‘g‘im) suyuqligi,
SPRM  ,Сперматозоиды,Spermatozoidlar,
SPRP  ,"Кончик катетера, надлобковый",Suprapubik kateter uchi,
SPS  ,"Окружающая среда, споровая полоска","Atrof-muhit, sporali lenta",
SPT  ,Мокрота,Balg‘am,
SPTC  ,"Мокрота, откашлянная",Yo‘tal bilan chiqarilgan balg‘am,
SPTT  ,"Мокрота, трахеальный аспират",Traxeal aspirat balg‘ami,
SPUT1  ,"Мокрота, имитированная",Sun’iy balg‘am,
SPUTIN  ,"Мокрота, индуцированная",Induktsiyalangan balg‘am,
SPUTSP  ,"Мокрота, спонтанная",Spontan balg‘am,
STER  ,"Окружающая среда, Sterrad","Atrof-muhit, Sterrad",
STL  ,Кал,Najas,
STONE  ,Камень почки,Buyrak toshi,
SUBMA  ,Поднижнечелюстной абсцесс,Submandibulyar abstsess,
SUBMX  ,Подчелюстной абсцесс,Submaksillyar abstsess,
SUMP  ,"Дренаж, отстойник",Sump drenaji,
SUP  ,Надлобковая пункция,Suprapubik punksiya,
SUTUR  ,Шовный материал,Tikuv materiali,
SWGZ  ,Кончик катетера Swan-Ganz,Swan-Ganz kateteri uchi,
SWT  ,Пот,Ter,
TASP  ,Трахеальный аспират,Traxeal aspirat,
TEAR  ,Слёзы,Ko‘z yoshlari,
THRB  ,Тромбоциты,Trombotsitlar,
TISS  ,Ткань,To‘qima,
TISU  ,Язва ткани,To‘qima yarasi,
TLC  ,"Кончик катетера, трёхпросветный",Uch yo‘lli kateter uchi,
TRAC  ,Место трахеостомы,Traxeostomiya joyi,
TRANS  ,Транссудат,Transudat,
TSERU  ,"Сыворотка, минимальный уровень","Zardob, minimal daraja",
TSTES  ,Тестикулярный абсцесс,Moyak abstsessi,
TTRA  ,Транстрахеальный аспират,Transtraxeal aspirat,
TUBES  ,Трубки,Naychalar,
TUMOR  ,Опухоль,O‘sma,
TZANC  ,Мазок Цанка,Tsank surtmasi,
UDENT  ,"Источник, неустановленный",Manba aniqlanmagan,
UMED  ,Неизвестное лекарство,Noma’lum dori,
UR  ,Моча,Siydik,
URC  ,"Моча, чистый сбор",Toza yig‘ilgan siydik,
URINB  ,"Моча, промывные воды мочевого пузыря",Siydik pufagi yuvindisi,
URINC  ,"Моча, катетеризированная",Kateter orqali olingan siydik,
URINM  ,"Моча, средняя порция",O‘rtacha oqim siydigi,
URINN  ,"Моча, нефростома",Nefrostoma siydigi,
URINP  ,"Моча, педибэг",Pedibag siydigi,
URNS  ,Осадок мочи,Siydik cho‘kmasi,
URT  ,Мочевой катетер,Siydik kateteri,
USCOP  ,"Моча, цистоскопия",Tsistoskopiya siydigi,
USPEC  ,"Источник, неуточнённый",Manba aniqlanmagan,
USUB  ,Неизвестное вещество,Noma’lum modda,
VASTIP  ,"Кончик катетера, семявыносящий проток",Vas kateter uchi,
VENT  ,"Кончик катетера, желудочковый",Ventrikulyar kateter uchi,
VITF  ,Стекловидное тело,Shishasimon tana suyuqligi,
VOM  ,Рвотные массы,Qusindi,
WASH  ,Промывание,Yuvish,
WASI  ,"Промывка (например, бронхиальная)","Yuvindi (masalan, bronxial yuvindi)",
WAT  ,Вода,Suv,
WB  ,Цельная кровь,Butun qon,
WBC  ,Лейкоциты,Leykotsitlar,
WEN  ,Жировик,Yog‘ bez kistasi,
WICK  ,Фитиль,Fitil,
WND  ,Рана,Yara,
WNDA  ,Абсцесс раны,Yara abstsessi,
WNDD  ,Дренаж раны,Yara drenaji,
WNDE  ,Экссудат раны,Yara ekssudati,
WORM  ,Глист,Qurt,
WRT  ,Бородавка,So‘gal,
WWA  ,"Окружающая среда, вода","Atrof-muhit, suv",
WWO  ,"Окружающая среда, вода (океан)","Atrof-muhit, suv (okean)",
WWT  ,"Окружающая среда, вода (водопровод)","Atrof-muhit, suv (kran)",
